"id","condition_uuid","condition","created_at","updated_at","deleted_at"
"1","f148e32a29","Alcoholism","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"2","6f757e4d7f","Anemia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"3","3e1c58f16e","Anesthesia Problem","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"4","f6f690738c","Arthritis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"5","3ca095272c","Asthma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"6","5ed909ab02","Birth Defects","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"7","e1f5a7c12a","Bleeding Problem","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"8","e05fd2ce10","Cancer, Breast","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"9","baec1769aa","Cancer, Colon","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"10","3c08b6ab82","Cancer, Melanoma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"11","1677283c6f","Cancer, Skin","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"12","9fe9274d61","Cancer, Ovary","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"13","837dcd4736","Cancer, Prostate","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"14","7d2fbf1130","Cancer, Other","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"15","4a59ae5834","Diabetes (Childhood)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"16","84e269d860","Diabetes (Adult onset)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"17","637bbfb2ce","Eczema","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"18","9b383ee796","Epilepsy (Seizures) ","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"19","c64c803799","Genetic Diseases","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"20","21d12c7a0c","Glaucoma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"21","17c5887297","Hay Fever (Allergic)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"22","6d92e311af","Hearing Problems","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"23","9b773d8115","Heart Attack","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"24","331bb72dba","High Blood Pressure","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"25","dd3c5defe0","High Cholesterol","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"26","633b801931","Kidney Diseases - Chronic Renal Failure","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"27","c258d3d04e","Lupus","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"28","e81c1e51d8","Mental Retardation","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"29","09632182ee","Migraine Headaches","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"30","48d918756b","Mitral Valve Prolapse","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"31","a01a00e0f5","Osteoarthritis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"32","235131e732","Osteoporosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"33","fe9837f729","Rheumatoid Arthritis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"34","3cfa823ee2","Stroke","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"35","ed37780ef4","Thyroid Disorders","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"36","dcf3416f79","Tuberculosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"39","clku990op9","Cancer, Lung","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"40","ccf4ervb5y","Cancer, Cervical","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"41","dmtz66757u","Dementia / Alzheimer's","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"42","g7i9f6r28m","Gait Instability Fall Risk","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"43","dpocdl689n","Lung Disorder (COPD)","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"44","ibs3sbi3lo","Irritable Bowel Syndrome","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"45","cdzshnv78u","Crohn's Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"46","pdpd00oplm","Parkinson's Disease","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"47","smft56yju3","Multiple Sclerosis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"48","lddlozsxcm","Learning Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"49","pdftr45bgn","Physical Disorder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"50","deplki8890","Depression","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"51","axeqwb562g","Anxiety","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"52","cbbdkiolpm","Cancer, Bladder","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"53","ced4thy7uk","Cancer, Endometrial","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"54","lopkmcnv77","Cancer, Kidney","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"55","clkiddng67","Cancer, Leukemia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"56","mklpojiunv","Cancer, Non-Hodgkin Lymphoma","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"57","pcddd09iza","Cancer, Pancreatic","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"58","thycasdert","Cancer, Thyroid","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"59","psdfrntt90","Phace Syndrome","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"61","pddoas2e68","Pervasive Devel d/o - Asbergers","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"62","ud2du4slzz","Kidney Diseases - Urinary Incontenence","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"63","dp09ialzis","Kidney Diseases - Dialysis","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"64","slllkmxxd9","Kidney Diseases - Sexual Dysfunction","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"65","autzmc8765","Autism","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"66","09876tygcr","Bipolar d/o Schizophrenia","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"67","de0912zxqw","Pre-Dementia / Mild Cognitive Impairment","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"68","3c1a3c1a09","Cateracts","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"69","5macdeol01","Macular Degen","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"70","plknhyu876","HRT / Contraception","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"71","290ossdjmz","Sexually Active","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"72","in23loxxsq","Infertility","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
"73","89bvczds24","Down's Syndrome","0000-00-00 00:00:00","0000-00-00 00:00:00",NULL
