"id","medicine_uuid","medicine","created_at","updated_at","deleted_at"
"1","0bc1562873","12 HOUR MIRACLE","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"2","811f2c4ff8","12 HOUR NASAL DECONGESTANT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","6d5492ac20","15HR COVER LASTING M201 MEDIUM BEIGE SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","22c61bdbb3","15HR COVER LASTING SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","4d23108b17","15HR COVER LASTING V201 APRICOT BEIGE SPF50","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","32af3e8f2b","1ST VAPORIZING INHALER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","b572f9ee41","2 IN 1 DANDRUFF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","237547eca7","24 HOUR ALLERGY","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","fe2f272a9b","24K BIO-BRIGHTENING SKIN TONE MOISTURIZER SPF 30","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","25a2898c39","28 REMEDY BALANCING TONER 10ML","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","125e531c47","2IN1 DANDRUFF AND CONDITIONER","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","7bd8602433","3-IN-1 RELIEF CVS","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","c49c572271","3M AVAGARD FOAMING INSTANT HAND ANTISEPTIC","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","0ce2f51b82","4 HOUR ALLERGY RELIEF","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"15","2e542ffd0d","4% CHG SKIN CLEANSING KIT","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
